City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
152,Bredasdorp,ZA,2022-04-17 23:55:04,-34.5322,20.0403,59.7,93,83,4.59,broken clouds
153,Oberwart,AT,2022-04-17 23:55:05,47.2897,16.206,40.62,44,28,7.29,scattered clouds
154,Fairbanks,US,2022-04-17 23:53:35,64.8378,-147.7164,39.97,24,0,4.61,clear sky
155,Salina Cruz,MX,2022-04-17 23:55:05,16.1667,-95.2,86.95,61,79,12.01,broken clouds
156,Kapaa,US,2022-04-17 23:55:06,22.0752,-159.319,80.58,81,23,10.0,few clouds
157,Dikson,RU,2022-04-17 23:55:06,73.5069,80.5464,-7.26,100,93,2.46,overcast clouds
158,Broome,US,2022-04-17 23:52:43,42.2506,-75.833,38.43,54,75,1.99,broken clouds
159,Sao Joao Da Barra,BR,2022-04-17 23:46:39,-21.6403,-41.0511,69.78,75,2,10.4,clear sky
160,Guerrero Negro,MX,2022-04-17 23:55:06,27.9769,-114.0611,65.05,65,85,19.04,overcast clouds
161,Kavieng,PG,2022-04-17 23:55:07,-2.5744,150.7967,85.57,66,83,14.18,broken clouds
162,Lusambo,CD,2022-04-17 23:55:07,-4.9667,23.45,71.26,89,93,1.52,overcast clouds
163,Hermanus,ZA,2022-04-17 23:55:07,-34.4187,19.2345,61.81,83,69,12.37,broken clouds
164,Vestmannaeyjar,IS,2022-04-17 23:55:08,63.4427,-20.2734,42.69,70,21,4.7,few clouds
165,Carnarvon,AU,2022-04-17 23:55:08,-24.8667,113.6333,64.47,88,94,11.5,overcast clouds
166,Buraydah,SA,2022-04-17 23:55:08,26.326,43.975,73.85,17,1,9.26,clear sky
167,Arraial Do Cabo,BR,2022-04-17 23:55:09,-22.9661,-42.0278,73.2,68,9,11.34,clear sky
168,Southbridge,US,2022-04-17 23:55:09,42.0751,-72.0334,43.93,57,53,4.0,broken clouds
169,Lavrentiya,RU,2022-04-17 23:46:33,65.5833,-171.0,30.85,97,100,14.41,snow
170,Christchurch,NZ,2022-04-17 23:51:48,-43.5333,172.6333,62.42,63,20,19.57,few clouds
171,Souillac,MU,2022-04-17 23:55:10,-20.5167,57.5167,77.38,94,75,5.75,light intensity shower rain
172,Aykhal,RU,2022-04-17 23:55:10,66.0,111.5,23.22,94,100,20.51,light snow
173,Gat,IL,2022-04-17 23:50:18,31.61,34.7642,87.78,14,12,19.64,few clouds
174,Jalu,LY,2022-04-17 23:45:13,29.0331,21.5482,61.95,72,98,15.32,overcast clouds
175,Burns Lake,CA,2022-04-17 23:53:40,54.2331,-125.7533,49.42,33,46,2.57,scattered clouds
176,Aklavik,CA,2022-04-17 23:55:11,68.2191,-135.0107,20.46,78,100,13.89,overcast clouds
177,Komsomolskiy,UZ,2022-04-17 23:47:51,40.4272,71.7189,63.32,34,59,9.22,broken clouds
178,Auch,FR,2022-04-17 23:55:11,43.65,0.5833,55.26,88,100,3.0,overcast clouds
179,Loreto,MX,2022-04-17 23:54:53,22.2667,-101.9667,88.18,7,17,12.86,few clouds
180,Sobolevo,RU,2022-04-17 23:55:11,54.4299,31.8996,31.64,95,99,11.45,light snow
